era,work_id,year,has_inst_country,has_authorship_countries,has_nonempty_raw_affil,raw_affil_examples
2010-2024,W2374465348,2010,False,False,True,"Engineering Institute of Chemical Defense,Beijing 102205,China)"
2010-2024,W2788541821,2011,False,False,False,
2010-2024,W634876042,2012,False,False,False,
2010-2024,W2490021534,2013,False,False,False,
2010-2024,W3178663188,2013,False,False,False,
2010-2024,W2618269848,2016,False,False,False,
2010-2024,W3123303612,2012,False,False,False,
2010-2024,W3160952618,2019,False,False,False,
2010-2024,W2761056992,2017,False,False,True,كلية علم النفس وعلوم التربية جامعة قسنطينة 2 ، عبد الحميد مهري قسنطينة الجزائر
2010-2024,W4299700950,2023,False,False,True,"Indiana, PA"
2010-2024,W3214058436,2021,False,False,False,
2010-2024,W921570517,2010,False,False,False,
2010-2024,W4285406618,2022,False,False,True,FGBOU VO &quot;Kostromskoi gosudarstvennyi universitet im. N.A. Nekrasova&quot;
2010-2024,W7135568878,2017,False,False,False,
2010-2024,W3170342219,2014,False,False,False,
2010-2024,W3111279926,2020,False,False,False,
2010-2024,W4248045684,2011,False,False,False,
2010-2024,W2375159977,2011,False,False,False,
2010-2024,W7145027372,2013,False,False,False,
2010-2024,W2784662383,2018,False,False,False,
2010-2024,W4236014719,2012,False,False,False,
2010-2024,W7144220802,2012,False,False,False,
2010-2024,W2223142620,2013,False,False,False,
2010-2024,W2735274579,2017,False,False,False,
2010-2024,W2799145255,2013,False,False,False,
2010-2024,W4395807030,2023,False,False,False,
2010-2024,W2539036008,2016,False,False,False,
2010-2024,W4393534399,2018,False,False,False,
2010-2024,W4397814832,2019,False,False,False,
2010-2024,W7127580145,2017,False,False,False,
2010-2024,W228207329,2011,False,False,False,
2010-2024,W980398977,2012,False,False,False,
2010-2024,W2923447701,2016,False,False,False,
2010-2024,W4392780636,2020,False,False,False,
2010-2024,W4360772539,2012,False,False,False,
