subfield,year,rank,work_id,title,authors_top3,concepts_top3,abstract_preview,primary_source
operating systems,1975,11,https://openalex.org/W1485099091,The Ionic Channels in Excitable Membranes,R. D. Keynes,Ionic bonding (0.57); Section (typography) (0.53); Membrane (0.48),The ionic channels in excitable membranes are of two classes: those that open and close when the membrane potential alters and those that respond to the release of an appropriate chemical transmitter. The former are responsible for the conduction of impulses in nerve and muscle fibres and the latter...,Novartis Foundation symposium
operating systems,1975,12,https://openalex.org/W2139030761,The modified nodal approach to network analysis,Chung-Wen Ho; Albert E. Ruehli; P.A. Brennan,Modified nodal analysis (0.91); Network analysis (0.70); Nodal analysis (0.70),"The nodal method has been widely used for formulating circuit equations in computer-aided network analysis and design programs. However, several limitations exist in this method including the inability to process voltage sources and current-dependent circuit elements in a simple and efficient manner...",IEEE Transactions on Circuits and Systems
operating systems,1975,13,https://openalex.org/W2047163318,Standardization of bronchial inhalation challenge procedures,Hyman Chai; Richard S. Farr; Luz A. Froehlich,Standardization (0.84); Inhalation (0.69); Medicine (0.55),,Journal of Allergy and Clinical Immunology
operating systems,1975,14,https://openalex.org/W2057392949,NP-complete scheduling problems,Jeffrey D. Ullman,Conjecture (0.67); Computer science (0.62); Scheduling (production processes) (0.61),,Journal of Computer and System Sciences
operating systems,1975,15,https://openalex.org/W1547377254,"Group Tasks, Group Interaction Process, and Group Performance Effectiveness: A Review and Proposed Integration",J. Richard Hackman; Charles G. Morris,Group (periodic table) (0.81); Set (abstract data type) (0.61); Argument (complex analysis) (0.61),,Advances in experimental social psychology
operating systems,1975,16,https://openalex.org/W2033593649,DIRECT AND INVERSE SOLUTIONS OF GEODESICS ON THE ELLIPSOID WITH APPLICATION OF NESTED EQUATIONS,T. Vincenty,Ellipsoid (0.80); Geodesic (0.74); Mathematics (0.62),AbstractThis paper gives compact formulae for the direct and inverse solutions of geodesics of any length. Existing formulae have been recast for efficient programming to conserve space and reduce execution time. The main feature of the new formulae is the use of nested equations for elliptic terms....,Survey Review
operating systems,1975,17,https://openalex.org/W2006021834,The Policy Implementation Process,Donald S. Van Meter; Carl E. Van Horn,Process (computing) (0.63); Process management (0.58); Public administration (0.49),,Administration & Society
operating systems,1975,18,https://openalex.org/W2094316274,Sleep Cycle Oscillation: Reciprocal Discharge by Two Brainstem Neuronal Groups,J. Allan Hobson; Robert W. McCarley; P. Wyzinski,Locus coeruleus (0.90); Reticular formation (0.67); Brainstem (0.66),"During the sleep cycle in cats, neurons localized to the posterolateral pole of the nucleus locus coeruleus and the nucleus subcoeruleus undergo discharge rate changes that are the opposite of those of the pontine reticular giant cells. The inverse rate ratios and activity curves of these two interc...",Science
operating systems,1975,19,https://openalex.org/W1515421853,Writing without Teachers,John S. Mayher; Peter Elbow,Writing process (0.74); Professional writing (0.71); Subconscious (0.56),"In Writing Without Teachers, well-known advocate of innovative teaching methods Peter Elbow outlines a practical program for learning how to write. His approach is especially helpful to people who get stuck or blocked in their writing, and is equally useful for writing fiction, poetry, and essays, a...",The English Journal
operating systems,1975,20,https://openalex.org/W2025113759,Concept of nonintegrable phase factors and global formulation of gauge fields,Tai Tsun Wu; Chen Ning Yang,Physics (0.71); Electromagnetism (0.65); Magnetic monopole (0.62),"Through an examination of the Bohm-Aharonov experiment an intrinsic and complete description of electromagnetism in a space-time region is formulated in terms of a nonintegrable phase factor. This concept, in its global ramifications, is studied through an examination of Dirac's magnetic monopole fi...","Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields"
operating systems,1975,21,https://openalex.org/W2136144249,"Asymptotic evaluation of certain markov process expectations for large time, II",M. D. Donsker; S. R. S. Varadhan,Mathematics (0.79); Markov chain (0.56); Markov process (0.56),,Communications on Pure and Applied Mathematics
operating systems,1975,22,https://openalex.org/W2165654401,A linear space algorithm for computing maximal common subsequences,D. S. Hirschberg,Longest common subsequence problem (0.84); Subsequence (0.70); Longest increasing subsequence (0.63),The problem of finding a longest common subsequence of two strings has been solved in quadratic time and space. An algorithm is presented which will solve this problem in quadratic time and in linear space.,Communications of the ACM
operating systems,1975,23,https://openalex.org/W1989561469,The Effects of Doubling the CO<sub>2</sub>Concentration on the climate of a General Circulation Model,Syukuro Manabe; R. T. Wetherald,Troposphere (0.76); Atmospheric sciences (0.68); Environmental science (0.60),"An attempt is made to estimate the temperature changes resulting from doubling the present CO2 concentration by the use of a simplified three-dimensional general circulation model. This model contains the following simplications: a limited computational domain, an idealized topography, no beat trans...",Journal of the Atmospheric Sciences
operating systems,1975,24,https://openalex.org/W1671721960,Transportation research,Walter Isard,Commodity (0.58); Flow network (0.50); Computer science (0.49),,Regional Science and Urban Economics
operating systems,1975,25,https://openalex.org/W4239074664,The internal model principle for linear multivariable regulators,Bruce A. Francis; W.M. Wonham,Multivariable calculus (0.88); Control theory (sociology) (0.81); Regulator (0.70),,Applied Mathematics & Optimization
operating systems,1975,26,https://openalex.org/W2023273380,ORGANIZATIONAL CLIMATES: AN ESSAY<sup>1</sup>,Benjamin Schneider,Citation (0.61); Principal (computer security) (0.45); Psychology (0.44),,Personnel Psychology
operating systems,1975,27,https://openalex.org/W2070217890,Measures on the Closed Subspaces of a Hilbert Space,Andrew M. Gleason,Linear subspace (0.97); Hilbert space (0.76); Countable set (0.75),,
operating systems,1975,28,https://openalex.org/W1982066070,"Topophilia: A Study of Environmental Perception, Attitudes, and Values",James F. O'Leary; Yi-Fu Tuan,Wilderness (0.86); Perspective (graphical) (0.69); Perception (0.67),,Journal of Aesthetics and Art Criticism
operating systems,1975,29,https://openalex.org/W2061620672,A random-walk simulation of the Schrödinger equation: H+3,James B. Anderson,Equilateral triangle (0.70); Schrödinger equation (0.69); Diffusion equation (0.65),"A simple random-walk method for obtaining ab initio solutions of the Schrödinger equation is examined in its application to the case of the molecular ion H+3 in the equilateral triangle configuration with side length R=1.66 bohr. The method, which is based on the similarity of the Schrödinger equati...",The Journal of Chemical Physics
operating systems,1975,30,https://openalex.org/W2011833091,Tracking in a cluttered environment with probabilistic data association,Yaakov Bar‐Shalom; Edison Tse,Probabilistic logic (0.79); Data association (0.63); Filter (signal processing) (0.62),,Automatica
operating systems,1975,31,https://openalex.org/W2057895073,The internal model principle for linear multivariable regulators,Bruce A. Francis; W.M. Wonham,Multivariable calculus (0.90); Control theory (sociology) (0.81); Regulator (0.69),,Applied Mathematics & Optimization
operating systems,1975,32,https://openalex.org/W2092488901,RELEVANCE: A review of and a framework for the thinking on the notion in information science,Tefko Saračević,Relevance (law) (0.92); Epistemology (0.57); Subject (documents) (0.53),"Abstract Information science emerged as the third subject, along with logic and philosophy, to deal with relevance‐an elusive, human notion. The concern with relevance, as a key notion in information science, is traced to the problems of scientific communication. Relevance is considered as a measure...",Journal of the American Society for Information Science
operating systems,1975,33,https://openalex.org/W2056811928,Musculosketal Symptoms and Non-REM Sleep Disturbance in Patients with “Fibrositis Syndrome” and Healthy Subjects,Harvey Moldofsky; Phillip Scarisbrick; Robert W. England,Non-rapid eye movement sleep (0.92); K-complex (0.61); Sleep (system call) (0.57),"In sleep studies of (a) patients with the ""fibrositis syndrome"" and (b) healthy subjects undergoing stage 4 sleep deprivation, we observed in both groups the anomalous presence of alpha-rhythms in the non-rapid-eye-movement (NREM) sleep EEG. This phenomenon has been termed alpha-delta sleep. In the ...",Psychosomatic Medicine
operating systems,1975,34,https://openalex.org/W2091691807,The measurement of appearance,Richard S. Hunter; David L. MacAdam,Gloss (optics) (0.80); Chromatic scale (0.64); Artificial intelligence (0.64),"APPEARANCE ATTRIBUTES AND THEIR BASES IN PHYSICS, PSYCHOLOGY, AND PHYSIOLOGY. Attributes of the Appearance of Objects. Light Sources and Illumination. Interaction of Objects with Light. The Human Observer and Visual Evaluation of Object Appearance. Psychophysical Scales for Appearance Measurement. T...",
operating systems,1975,35,https://openalex.org/W2910001684,"Derivation of new readability formulas (Automated Readability Index, Fog Count and Flesch Reading Ease Formula) for Navy enlisted personnel ; Research Branch Report 8-75",J. Peter Kincaid; P Fishburne Lieutenant Robert; L Rogers Richard,Readability (0.95); Reading (process) (0.55); Navy (0.53),,
operating systems,1975,36,https://openalex.org/W2059206957,Metric geometry of equilibrium thermodynamics,Frank Weinhold,Axiom (0.67); Equilibrium thermodynamics (0.66); Formalism (music) (0.59),"It is shown that the principal empirical laws of equilibrium thermodynamics can be brought into correspondence with the mathematical axioms of an abstract metric space. This formal correspondence permits one to associate with the thermodynamic formalism a geometrical aspect, with intrinsic metric st...",The Journal of Chemical Physics
operating systems,1975,37,https://openalex.org/W1983597038,A preliminary scanning electron microscopic study of root canals after endodontic procedures,Dorothy McComb; Dennis C. Smith,Sodium hypochlorite (0.92); Smear layer (0.78); Root canal (0.75),,Journal of Endodontics
operating systems,1975,38,https://openalex.org/W2013815893,Data Storage in the Cerebellar Model Articulation Controller (CMAC),James S. Albus,Cerebellar model articulation controller (0.87); Controller (irrigation) (0.68); Computer science (0.61),"The storage of manipulator control functions in the CM AC memory is accomplished by an iterative process which, if the control function is sufficiently smooth, will converge. There are several different techniques for loading the CM AC memory depending on the amount of data which has already been st...",Journal of Dynamic Systems Measurement and Control
operating systems,1975,39,https://openalex.org/W2058390898,After Babel: Aspects of Language and Translation,George Woodcock,George (robot) (0.75); Icon (0.71); Citation (0.59),"Other| September 01 1975 After Babel: Aspects of Language and Translation George Steiner. New York and London: Oxford University Press, 1975. viii + 507 pp. $17.50 George Woodcock George Woodcock Search for other works by this author on: This Site Google Modern Language Quarterly (1975) 36 (3): 324–...",Modern Language Quarterly
operating systems,1975,40,https://openalex.org/W1568004189,The standardization and analysis of hand evaluation.,季雄 川端; 日本繊維機械学会風合い計量と規格化研究委員会,Standardization (0.84); Computer science (0.34); Operating system (0.05),,Medical Entomology and Zoology
operating systems,1975,41,https://openalex.org/W2067565872,Proceedings of the Society of Photo-optical Instrumentation Engineers,Brendan S. Brown,Instrumentation (computer programming) (0.89); Engineering (0.50); Engineering physics (0.46),"(1975). Proceedings of the Society of Photo-optical Instrumentation Engineers. Optica Acta: International Journal of Optics: Vol. 22, No. 9, pp. 793-795.",Optica Acta International Journal of Optics
operating systems,1975,42,https://openalex.org/W103694324,Potential Theory on Locally Compact Abelian Groups,Christian Berg; Gunnar Forst,Locally compact space (0.60); Pure mathematics (0.59); Abelian group (0.59),,
operating systems,1975,43,https://openalex.org/W2063760437,Exceptional Paper—Probability Encoding in Decision Analysis,Carl Spetzler; Carl-Axel S. Staël von Holstein,Encoding (memory) (0.85); Computer science (0.71); Variety (cybernetics) (0.54),"This paper presents the present philosophy and practice used in probability encoding by the Decision Analysis Group at Stanford Research Institute. Probability encoding, the process of extracting and quantifying individual judgment about uncertain quantities, is one of the major functions required i...",Management Science
operating systems,1975,44,https://openalex.org/W1566690694,The Skilled Helper: A Problem Management and Opportunity Development Approach to Helping,Gerard Egan,Commit (0.84); Active listening (0.75); Action (physics) (0.69),Part I: LAYING THE GROUNDWORK. 1. Introduction to Helping. 2. The Helping Relationship: Values in Action. 3. Overview of the Helping Model. Part II: STAGE I OF THE HELPING PROCESS AND THE SKILLS OF THERAPEUTIC DIALOGUE. 4. Stage I: The Current Picture: Task 1-Partner with Clients to Help Them Tell T...,Medical Entomology and Zoology
operating systems,1975,45,https://openalex.org/W2039415399,Facing up to arrangements: face-count formulas for partitions of space by hyperplanes,Thomas Zasĺavsky,Hyperplane (0.94); Face (sociological concept) (0.76); Mathematics (0.75),,Memoirs of the American Mathematical Society
operating systems,1975,46,https://openalex.org/W1982833188,Theory of mode locking with a fast saturable absorber,H. A. Haus,Saturable absorption (0.97); Pulse (music) (0.59); Laser (0.56),This paper presents a closed-form analysis of saturable absorber mode locking of a homogeneously broadened laser. A solution is obtained for the case of a short relaxation time of the saturable absorber. This pulse is a hyperbolic secant as a function of time. For each choice of parameters two pulse...,Journal of Applied Physics
operating systems,1975,47,https://openalex.org/W2163442709,On the method of virtual crack extensions,T. K. Hellen,Strain energy release rate (0.71); Tension (geology) (0.64); Finite element method (0.64),Abstract The measurement of energy release rates using virtual crack extensions has been made using finite element techniques. An economic and accurate technique for calculating energy changes due to any number of virtual tip changes is presented. Mixed‐mode situations can be dealt with by observing...,International Journal for Numerical Methods in Engineering
operating systems,1975,48,https://openalex.org/W2165770116,A World of Strangers: Order and Action in Urban Public Space.,Leonard Reissman; Lyn H. Lofland,Action (physics) (0.78); Space (punctuation) (0.66); Order (exchange) (0.62),,Contemporary Sociology A Journal of Reviews
operating systems,1975,49,https://openalex.org/W1583558677,SOLA: a numerical solution algorithm for transient fluid flows,C.W. Hirt; B.D. Nichols; Néstor Romero,Pressure gradient (0.65); Slip (aerodynamics) (0.62); Transient (computer programming) (0.52),"an elliptic equation for pressure that is solved by a conjugate gradient method. Boundary conditions of five general types may be chosen: free-slip, no-slip, continuative, periodic, and specified pressure. In addition, internal mesh specifications to model obstacles and walls are provided. SOLA-DM a...",
operating systems,1975,50,https://openalex.org/W1969995353,Measurement of Angular Acceleration of a Rigid Body Using Linear Accelerometers,Arvind J. Padgaonkar; K. W. Krieger; A. I. King,Accelerometer (0.92); Kinematics (0.88); Acceleration (0.76),"The computation of angular acceleration of a rigid body from measured linear accelerations is a simple procedure, based on well-known kinematic principles. It can be shown that, in theory, a minimum of six linear accelerometers are required for a complete definition of the kinematics of a rigid body...",Journal of Applied Mechanics
operating systems,2020,1,https://openalex.org/W3036319615,TBtools: An Integrative Toolkit Developed for Interactive Analyses of Big Biological Data,Chengjie Chen; Hao Chen; Yi Zhang,Computer science (0.74); Software (0.65); Java (0.64),,Molecular Plant
operating systems,2020,2,https://openalex.org/W3035524453,Momentum Contrast for Unsupervised Visual Representation Learning,Kaiming He; Haoqi Fan; Yuxin Wu,Artificial intelligence (0.73); Pascal (unit) (0.73); Computer science (0.72),"We present Momentum Contrast (MoCo) for unsupervised visual representation learning. From a perspective on contrastive learning as dictionary look-up, we build a dynamic dictionary with a queue and a moving-averaged encoder. This enables building a large and consistent dictionary on-the-fly that fac...",
operating systems,2020,3,https://openalex.org/W3008443627,An interactive web-based dashboard to track COVID-19 in real time,Ensheng Dong; Hongru Du; Lauren Gardner,Dashboard (0.78); Coronavirus disease 2019 (COVID-19) (0.75); Outbreak (0.75),"In December, 2019, a local outbreak of pneumonia of initially unknown cause was detected in Wuhan (Hubei, China), and was quickly determined to be caused by a novel coronavirus,1WHOWHO statement regarding cluster of pneumonia cases in Wuhan, China.https://www.who.int/china/news/detail/09-01-2020-who...",The Lancet Infectious Diseases
operating systems,2020,4,https://openalex.org/W3083406432,"<scp>UCSF ChimeraX</scp>: Structure visualization for researchers, educators, and developers",Eric F. Pettersen; Thomas D. Goddard; Conrad C. Huang,Undo (0.78); Computer science (0.77); Visualization (0.74),"UCSF ChimeraX is the next-generation interactive visualization program from the Resource for Biocomputing, Visualization, and Informatics (RBVI), following UCSF Chimera. ChimeraX brings (a) significant performance and graphics enhancements; (b) new implementations of Chimera's most highly used tools...",Protein Science
operating systems,2020,5,https://openalex.org/W4236357753,The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia,Rigour (0.94); Checklist (0.78); Context (archaeology) (0.66),Reproducible science requires transparent reporting. The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) were originally developed in 2010 to improve the reporting of animal research. They consist of a checklist of information to include in publications describing in vivo exper...,PLoS Biology
operating systems,2020,6,https://openalex.org/W3019350884,Risk‐of‐bias VISualization (robvis): An R package and Shiny web app for visualizing risk‐of‐bias assessments,Luke A. McGuinness; Julian P. T. Higgins,Timeline (0.77); Computer science (0.76); Visualization (0.73),"Despite a major increase in the range and number of software offerings now available to help researchers produce evidence syntheses, there is currently no generic tool for producing figures to display and explore the risk-of-bias assessments that routinely take place as part of systematic review. Ho...",Research Synthesis Methods
operating systems,2020,7,https://openalex.org/W3014125413,Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset,Ian Harris; Timothy J. Osborn; P. D. Jones,Cru (0.98); Latitude (0.66); Metadata (0.55),CRU TS (Climatic Research Unit gridded Time Series) is a widely used climate dataset on a 0.5° latitude by 0.5° longitude grid over all land domains of the world except Antarctica. It is derived by the interpolation of monthly climate anomalies from extensive networks of weather station observations...,Scientific Data
operating systems,2020,8,https://openalex.org/W3035414587,GhostNet: More Features From Cheap Operations,Kai Han; Yunhe Wang; Qi Tian,Computer science (0.79); Redundancy (engineering) (0.75); Convolutional neural network (0.67),"Deploying convolutional neural networks (CNNs) on embedded devices is difficult due to the limited memory and computation resources. The redundancy in feature maps is an important characteristic of those successful CNNs, but has rarely been investigated in neural architecture design. This paper prop...",
operating systems,2020,9,https://openalex.org/W2583504027,The Delphi Technique: Making Sense of Consensus,Chia-Chien Hsu; Brian A. Sandford,Respondent (0.81); Delphi method (0.75); Delphi (0.74),The Delphi technique is a widely used and accepted method for gathering data from respondents within their domain of expertise. The technique is designed as a group communication process which aims to achieve a convergence of opinion on a specific real-world issue. The Delphi process has been used i...,Scholarworks (University of Massachusetts Amherst)
operating systems,2020,10,https://openalex.org/W2998789541,The Image Biomarker Standardization Initiative: Standardized Quantitative Radiomics for High-Throughput Image-based Phenotyping,Alex Zwanenburg; Martin Vallières; Mahmoud A. Abdalah,Standardization (0.68); Biomarker (0.65); Benchmark (surveying) (0.61),"Background Radiomic features may quantify characteristics present in medical imaging. However, the lack of standardized definitions and validated reference values have hampered clinical use. Purpose To standardize a set of 174 radiomic features. Materials and Methods Radiomic features were assessed ...",Radiology
operating systems,2020,11,https://openalex.org/W3047879827,The ARRIVE guidelines 2.0: Updated guidelines for reporting animal research,Nathalie Percie du Sert; Viki Hurst; Amrita Ahluwalia,Rigour (0.94); Checklist (0.75); Transparency (behavior) (0.66),Reproducible science requires transparent reporting. The ARRIVE guidelines (Animal Research: Reporting of In Vivo Experiments) were originally developed in 2010 to improve the reporting of animal research. They consist of a checklist of information to include in publications describing in vivo exper...,Experimental Physiology
operating systems,2020,12,https://openalex.org/W3035028232,AGREE—Analytical GREEnness Metric Approach and Software,Francisco Pena‐Pereira; W. Wojnowski; Marek Tobiszewski,Calculator (0.66); Automation (0.64); Metric (unit) (0.64),"Green analytical chemistry focuses on making analytical procedures more environmentally benign and safer to humans. The amounts and toxicity of reagents, generated waste, energy requirements, the number of procedural steps, miniaturization, and automation are just a few of the multitude of criteria ...",Analytical Chemistry
operating systems,2020,13,https://openalex.org/W3046751266,Scalable molecular dynamics on CPU and GPU architectures with NAMD,J. C. Phillips; David J. Hardy; Julio D. C. Maia,Computer science (0.66); Scalability (0.63); Molecular dynamics (0.54),"NAMDis a molecular dynamics program designed for high-performance simulations of very large biological objects on CPU- and GPU-based architectures. NAMD offers scalable performance on petascale parallel supercomputers consisting of hundreds of thousands of cores, as well as on inexpensive commodity ...",The Journal of Chemical Physics
operating systems,2020,14,https://openalex.org/W2998175747,International evaluation of an AI system for breast cancer screening,Scott Mayer McKinney; Marcin Sieniek; Varun Godbole,False positive paradox (0.81); Breast cancer (0.65); Mammography (0.65),,Nature
operating systems,2020,15,https://openalex.org/W3047141442,Generalizing RNA velocity to transient cell states through dynamical modeling,Volker Bergen; Marius Lange; Stefan Peidli,Transient (computer programming) (0.71); RNA (0.49); Computational biology (0.37),,Nature Biotechnology
operating systems,2020,16,https://openalex.org/W3002362821,Identifying and removing haplotypic duplication in primary genome assemblies,Dengfeng Guan; Shane McCarthy; Jonathan Wood,Computer science (0.68); Purge (0.67); Source code (0.55),Supplementary data are available at Bioinformatics online.,Bioinformatics
operating systems,2020,17,https://openalex.org/W3043135743,Reporting animal research: Explanation and elaboration for the ARRIVE guidelines 2.0,Nathalie Percie du Sert; Amrita Ahluwalia; Sabina Alam,Elaboration (0.84); Transparency (behavior) (0.68); Process (computing) (0.54),Improving the reproducibility of biomedical research is a major challenge. Transparent and accurate reporting is vital to this process; it allows readers to assess the reliability of the findings and repeat or build upon the work of other researchers. The ARRIVE guidelines (Animal Research: Reportin...,PLoS Biology
operating systems,2020,18,https://openalex.org/W3013215798,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,Luca Ferretti; Chris Wymant; Michelle Kendall,Contact tracing (0.95); Transmission (telecommunications) (0.70); Epidemic control (0.62),The newly emergent human virus SARS-CoV-2 (severe acute respiratory syndrome-coronavirus 2) is resulting in high fatality rates and incapacitated health systems. Preventing further transmission is a priority. We analyzed key parameters of epidemic spread to estimate the contribution of different tra...,Science
operating systems,2020,19,https://openalex.org/W3015788359,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation,Huimin Huang; Lanfen Lin; Ruofeng Tong,Computer science (0.81); Segmentation (0.79); Artificial intelligence (0.62),"Recently, a growing interest has been seen in deep learning-based semantic segmentation. UNet, which is one of deep learning networks with an encoder-decoder architecture, is widely used in medical image segmentation. Combining multi-scale features is one of important factors for accurate segmentati...",
operating systems,2020,20,https://openalex.org/W3034942609,Generalizing from a Few Examples,Yaqing Wang; Quanming Yao; James T. Kwok,Computer science (0.85); Categorization (0.65); Machine learning (0.60),"Machine learning has been highly successful in data-intensive applications but is often hampered when the data set is small. Recently, Few-shot Learning (FSL) is proposed to tackle this problem. Using prior knowledge, FSL can rapidly generalize to new tasks containing only a few samples with supervi...",ACM Computing Surveys
operating systems,2020,21,https://openalex.org/W3012094285,GenomeScope 2.0 and Smudgeplot for reference-free profiling of polyploid genomes,T. Rhyker Ranallo-Benavidez; Kamil S. Jaroň; Michael C. Schatz,Polyploid (0.85); Genome (0.85); Ploidy (0.62),"An important assessment prior to genome assembly and related analyses is genome profiling, where the k-mer frequencies within raw sequencing reads are analyzed to estimate major genome characteristics such as size, heterozygosity, and repetitiveness. Here we introduce GenomeScope 2.0 (https://github...",Nature Communications
operating systems,2020,22,https://openalex.org/W3007075333,BlobToolKit – Interactive Quality Assessment of Genome Assemblies,Richard Challis; E. G. Richards; Jeena Rajan,Genome (0.62); Computer science (0.57); Pipeline (software) (0.51),"Reconstruction of target genomes from sequence data produced by instruments that are agnostic as to the species-of-origin may be confounded by contaminant DNA. Whether introduced during sample processing or through co-extraction alongside the target DNA, if insufficient care is taken during the asse...",G3 Genes Genomes Genetics
operating systems,2020,23,https://openalex.org/W3085749548,Online teaching-learning in higher education during lockdown period of COVID-19 pandemic,Lokanath Mishra; Tushar Gupta; Abha Shree,Pandemic (0.54); Globe (0.48); Mathematics education (0.47),The whole educational system from elementary to tertiary level has been collapsed during the lockdown period of the novel coronavirus disease 2019 (COVID-19) not only in India but across the globe. This study is a portrayal of online teaching-learning modes adopted by the Mizoram University for the ...,International Journal of Educational Research Open
operating systems,2020,24,https://openalex.org/W3035423599,The art of writing literature review: What do we know and what do we need to know?,Justin Paul; Alex Rialp,Systematic review (0.69); Foundation (evidence) (0.57); Theme (computing) (0.56),,International Business Review
operating systems,2020,25,https://openalex.org/W3035160371,Self-Training With Noisy Student Improves ImageNet Classification,Qizhe Xie; Minh-Thang Luong; Eduard Hovy,Robustness (evolution) (0.80); Computer science (0.70); Artificial intelligence (0.58),"We present a simple self-training method that achieves 88.4% top-1 accuracy on ImageNet, which is 2.0% better than the state-of-the-art model that requires 3.5B weakly labeled Instagram images. On robustness test sets, it improves ImageNet-A top-1 accuracy from 61.0% to 83.7%, reduces ImageNet-C mea...",
operating systems,2020,26,https://openalex.org/W3006234984,Automated exploration of the low-energy chemical space with fast quantum chemical methods,Philipp Pracht; Fabian Bohle; Stefan Grimme,Chemical space (0.82); Quantum chemical (0.81); Space (punctuation) (0.63),We propose and discuss an efficient scheme for the in silico sampling for parts of the molecular chemical space by semiempirical tight-binding methods combined with a meta-dynamics driven search algorithm. The focus of this work is set on the generation of proper thermodynamic ensembles at a quantum...,Physical Chemistry Chemical Physics
operating systems,2020,27,https://openalex.org/W3015468748,Longformer: The Long-Document Transformer,Iz Beltagy; Matthew E. Peters; Arman Cohan,Automatic summarization (0.83); Transformer (0.82); Computer science (0.77),"Transformer-based models are unable to process long sequences due to their self-attention operation, which scales quadratically with the sequence length. To address this limitation, we introduce the Longformer with an attention mechanism that scales linearly with sequence length, making it easy to p...",arXiv (Cornell University)
